Entity 1,Entity 2,Weight,Network group,Network
IL1B,TNF,0.013064377,Co-expression,Boldrick-Relman-2002
IL1B,IL6,0.014142287,Co-expression,Boldrick-Relman-2002
IL18,TNF,0.017232196,Co-expression,Boldrick-Relman-2002
CXCL8,IL1B,0.011385023,Co-expression,Boldrick-Relman-2002
TNF,IL10,0.014470662,Co-expression,Bild-Nevins-2006 B
CCL2,IL6,0.026407778,Co-expression,Bild-Nevins-2006 B
CCL2,IL1B,0.02199387,Co-expression,Bild-Nevins-2006 B
CXCL8,IL1B,0.022417204,Co-expression,Bild-Nevins-2006 B
SLC11A1,CSF2,0.01045719,Co-expression,Mallon-McKay-2013
MBL2,CRP,0.008097847,Co-expression,Mallon-McKay-2013
TNF,IL10,0.018055089,Co-expression,Mallon-McKay-2013
ARG1,CRP,0.009778462,Co-expression,Mallon-McKay-2013
CCR5,HLA-DRB1,0.0070495596,Co-expression,Mallon-McKay-2013
IL1B,IL10,0.011389664,Co-expression,Mallon-McKay-2013
IL18,HLA-DRB1,0.0134186,Co-expression,Mallon-McKay-2013
ARG1,LTA,0.015365058,Co-expression,Perou-Botstein-2000
IL6,HLA-DRB1,0.003944367,Co-expression,Perou-Botstein-2000
CCL2,HLA-DRB1,0.0037547487,Co-expression,Perou-Botstein-2000
CXCL8,HLA-DRB1,0.0038687426,Co-expression,Perou-Botstein-2000
CXCL8,IL6,0.009518101,Co-expression,Perou-Botstein-2000
CXCL8,CCL2,0.0074927052,Co-expression,Perou-Botstein-2000
MBL2,CRP,0.004912648,Co-expression,Dobbin-Giordano-2005
IFNG,HLA-DRB1,0.005627722,Co-expression,Dobbin-Giordano-2005
ARG1,CRP,0.002994573,Co-expression,Dobbin-Giordano-2005
IL1B,IL6,0.010647923,Co-expression,Dobbin-Giordano-2005
CCL2,IL6,0.023832938,Co-expression,Dobbin-Giordano-2005
CXCL8,IL1B,0.010991958,Co-expression,Dobbin-Giordano-2005
CXCL8,HLA-DRB1,0.013804992,Co-expression,Chen-Brown-2002
CXCL8,IL6,0.026352158,Co-expression,Chen-Brown-2002
TNF,IL10,0.0053703897,Co-expression,Burington-Shaughnessy-2008
IL18,HMOX1,0.012670609,Co-expression,Burington-Shaughnessy-2008
CCL2,IL10,0.014414896,Co-expression,Burington-Shaughnessy-2008
IL1B,TNF,0.019200178,Co-expression,Alizadeh-Staudt-2000
CCL2,CCR5,0.011988276,Co-expression,Alizadeh-Staudt-2000
IL6,SLC11A1,0.005104398,Co-expression,Jiang-de Kok-2017
IL6,IL10,0.0034370942,Co-expression,Jiang-de Kok-2017
CCL2,HLA-DRB1,0.008459856,Co-expression,Jiang-de Kok-2017
CCL2,IL6,0.0041757277,Co-expression,Jiang-de Kok-2017
CXCL8,HLA-DRB1,0.0072140424,Co-expression,Ross-Perou-2001
CXCL8,IL6,0.009711328,Co-expression,Ross-Perou-2001
TNF,LTA,0.020844,Co-expression,Rieger-Chu-2004
IL1B,TNF,0.014463618,Co-expression,Rosenwald-Staudt-2001
IL10,CSF2,0.017217556,Co-localization,Schadt-Shoemaker-2004
MBL2,CRP,0.012120035,Co-localization,Schadt-Shoemaker-2004
IFNG,IL10,0.014559264,Co-localization,Schadt-Shoemaker-2004
HMOX1,CRP,0.009069393,Co-localization,Schadt-Shoemaker-2004
ARG1,CRP,0.009097716,Co-localization,Schadt-Shoemaker-2004
ARG1,MBL2,0.011542664,Co-localization,Schadt-Shoemaker-2004
ARG1,HMOX1,0.011271854,Co-localization,Schadt-Shoemaker-2004
IL1B,HMOX1,0.016141122,Co-localization,Schadt-Shoemaker-2004
CXCL8,CRP,0.007788977,Co-localization,Schadt-Shoemaker-2004
CXCL8,IFNG,0.014052194,Co-localization,Schadt-Shoemaker-2004
CXCL8,HMOX1,0.019434204,Co-localization,Schadt-Shoemaker-2004
CXCL8,ARG1,0.009053186,Co-localization,Schadt-Shoemaker-2004
CXCL8,IL6,0.023177035,Co-localization,Schadt-Shoemaker-2004
CXCL8,IL1B,0.018718077,Co-localization,Schadt-Shoemaker-2004
ARG1,HMOX1,0.010894454,Co-localization,Johnson-Shoemaker-2003
CCR5,IFNG,0.0065409173,Co-localization,Johnson-Shoemaker-2003
IL1B,IL6,0.0117118275,Co-localization,Johnson-Shoemaker-2003
IL18,IL6,0.013209364,Co-localization,Johnson-Shoemaker-2003
CCL2,IL6,0.013358831,Co-localization,Johnson-Shoemaker-2003
CCL2,IL1B,0.01450579,Co-localization,Johnson-Shoemaker-2003
CXCL8,SLC11A1,0.017756954,Co-localization,Johnson-Shoemaker-2003
CXCL8,IL1B,0.013975998,Co-localization,Johnson-Shoemaker-2003
CXCL8,CCL2,0.01209015,Co-localization,Johnson-Shoemaker-2003
IFNG,CSF2,0.0019325267,Genetic Interactions,Lin-Smith-2010
LTA,MBL2,0.0017349508,Genetic Interactions,Lin-Smith-2010
TNF,MBL2,0.0014335491,Genetic Interactions,Lin-Smith-2010
CXCL8,MBL2,0.0007744487,Genetic Interactions,Lin-Smith-2010
CXCL8,HMOX1,0.0030624536,Genetic Interactions,Lin-Smith-2010
IFNG,HLA-DRB1,0.018937703,Pathway,NCI_NATURE
IL18,IFNG,0.0367897,Pathway,NCI_NATURE
IL18,CCR5,0.15130119,Pathway,NCI_NATURE
CXCL8,CCL2,0.22594719,Physical Interactions,von Hundelshausen-Weber-2017
CXCL8,CCL2,0.22396685,Physical Interactions,IREF-bhf-ucl
IL6,CRP,0.20661019,Physical Interactions,IREF-innatedb
CCL2,CCR5,0.10327385,Physical Interactions,IREF-innatedb
TNF,LTA,0.09123457,Physical Interactions,IREF-dip
CCL2,CCR5,0.15827802,Physical Interactions,IREF-dip
TNF,IFNG,0.15624456,Predicted,Wu-Stein-2010
TNF,LTA,0.10292171,Predicted,Wu-Stein-2010
IL18,IL1B,0.26134908,Predicted,Wu-Stein-2010
CCL2,CCR5,0.035078276,Predicted,Wu-Stein-2010
CCL2,IL6,0.07544984,Predicted,Wu-Stein-2010
CXCL8,IL6,0.09190464,Predicted,Wu-Stein-2010
CXCL8,CCL2,0.039575845,Predicted,Wu-Stein-2010
CSF2,IL4,0.019291766,Shared protein domains,INTERPRO
IL10,IL4,0.015942397,Shared protein domains,INTERPRO
IL10,CSF2,0.017056407,Shared protein domains,INTERPRO
HLA-DRB1,HLA-DQA1,0.020227496,Shared protein domains,INTERPRO
IFNG,IL4,0.019291766,Shared protein domains,INTERPRO
IFNG,CSF2,0.02063982,Shared protein domains,INTERPRO
IFNG,IL10,0.017056407,Shared protein domains,INTERPRO
TNF,LTA,0.05162626,Shared protein domains,INTERPRO
IL6,IL4,0.018031761,Shared protein domains,INTERPRO
IL6,CSF2,0.019291766,Shared protein domains,INTERPRO
IL6,IL10,0.015942397,Shared protein domains,INTERPRO
IL6,IFNG,0.019291766,Shared protein domains,INTERPRO
IL18,IL1B,0.05131887,Shared protein domains,INTERPRO
CXCL8,CCL2,0.016483858,Shared protein domains,INTERPRO
